elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
16.589401,0,-0.02,0.41,-1.34,-68.66,0,938.50,6,imu,"-0.02,0.41,-1.34,-68.66,0,938.50"
16.599999,0,-0.51,0.29,7.63,-64.12,0,938.50,6,imu,"-0.51,0.29,7.63,-64.12,0,938.50"
16.613077,0,-1.12,0.66,-1.58,-60.65,0,938.50,6,imu,"-1.12,0.66,-1.58,-60.65,0,938.50"
16.623544,0,-1.12,0.53,-41.18,-48.32,0,938.50,6,imu,"-1.12,0.53,-41.18,-48.32,0,938.50"
16.636402,0,-0.88,0.90,-56.26,-44.61,0,938.50,6,imu,"-0.88,0.90,-56.26,-44.61,0,938.50"
16.648935,0,-0.39,-0.20,-62.36,-45.69,0,938.50,6,imu,"-0.39,-0.20,-62.36,-45.69,0,938.50"
16.659264,0,0.22,-0.32,-54.58,-51.20,0,938.50,6,imu,"0.22,-0.32,-54.58,-51.20,0,938.50"
16.672306,0,0.35,0.04,-39.27,-50.48,0,938.50,6,imu,"0.35,0.04,-39.27,-50.48,0,938.50"
16.685216,0,-0.02,0.78,-20.73,-57.78,0,938.50,6,imu,"-0.02,0.78,-20.73,-57.78,0,938.50"
16.695648,0,0.22,0.17,-15.58,-56.82,0,938.50,6,imu,"0.22,0.17,-15.58,-56.82,0,938.50"
16.708709,0,-0.88,-0.81,-35.20,-38.75,0,938.50,6,imu,"-0.88,-0.81,-35.20,-38.75,0,938.50"
16.721250,0,-2.10,1.02,-49.32,-47.73,0,938.50,6,imu,"-2.10,1.02,-49.32,-47.73,0,938.50"
16.731738,0,-1.61,1.14,-56.74,-50.84,0,938.50,6,imu,"-1.61,1.14,-56.74,-50.84,0,938.50"
16.744436,0,-0.63,0.04,-52.91,-50.36,0,938.50,6,imu,"-0.63,0.04,-52.91,-50.36,0,938.50"
16.757421,0,-0.27,0.04,-54.46,-53.71,0,938.50,6,imu,"-0.27,0.04,-54.46,-53.71,0,938.50"
16.766942,0,,,,,,,2,text,"-0.27,1"
16.767033,0,,,,,,,2,text,".02,-"
16.767274,0,,,,,,,4,text,"46.93,-60.65,0,938.50"
16.779797,0,0.22,1.63,-33.05,-62.68,0,938.50,6,imu,"0.22,1.63,-33.05,-62.68,0,938.50"
16.792797,0,0.35,1.14,-12.47,-69.62,0,938.50,6,imu,"0.35,1.14,-12.47,-69.62,0,938.50"
16.803258,0,0.47,1.27,-11.51,-69.98,0,938.50,6,imu,"0.47,1.27,-11.51,-69.98,0,938.50"
16.816232,0,0.22,1.51,-23.12,-65.43,0,938.50,6,imu,"0.22,1.51,-23.12,-65.43,0,938.50"
16.829212,0,-0.51,3.22,-41.06,-58.73,0,938.50,6,imu,"-0.51,3.22,-41.06,-58.73,0,938.50"
